cell_id,vitmae_leiden_macs,Has_DE_Genes
andmeelh-1,13,True
aneapgbo-1,13,True
aneeciio-1,13,True
anfhklec-1,10,True
anfmjpbn-1,13,True
anfmoied-1,13,True
angemafa-1,13,True
anglfhhe-1,13,True
anibejib-1,13,True
anibnglj-1,13,True
anjdmihf-1,13,True
anjkkfpn-1,13,True
ankcgnlg-1,13,True
anlbipol-1,10,True
anldpaje-1,13,True
anmaobop-1,13,True
anmjkkaj-1,10,True
anngcnpb-1,13,True
anpefmbc-1,13,True
aoacioik-1,10,True
aoahnfik-1,13,True
aoainohk-1,10,True
aoajmfmf-1,10,True
aoakdjod-1,6,False
aobehmbf-1,3,False
aocabebi-1,13,True
aodaflhe-1,13,True
aodfkhae-1,10,True
aodlnefk-1,5,False
aoebflim-1,3,False
aoekaocd-1,13,True
aoeoenpj-1,3,False
aoepcafl-1,10,True
aofaldlp-1,13,True
aofcenol-1,10,True
aofejgbc-1,13,True
aogclhmg-1,10,True
aogjbnkj-1,13,True
aojdembo-1,3,False
aojlhfhc-1,13,True
aokkbfik-1,13,True
aokkecie-1,13,True
aokmkmpn-1,13,True
aoknembd-1,10,True
aokngene-1,10,True
aoknjiic-1,13,True
aoknkkdi-1,13,True
aoknnfno-1,13,True
aokoafcg-1,13,True
aolaifkp-1,3,False
aolbcakl-1,3,False
aolcoflp-1,13,True
aoldmiga-1,3,False
aolhpkae-1,10,True
aoljlpki-1,13,True
aolkkoag-1,13,True
aoloiffd-1,10,True
aomadcgi-1,13,True
aombekne-1,10,True
aombpcpc-1,13,True
aomgfpdk-1,13,True
aomihelk-1,13,True
aomoidcm-1,13,True
aonfgmkj-1,13,True
aonhkdoa-1,10,True
aonnngna-1,13,True
apaaigmc-1,10,True
apacipkb-1,10,True
apafjmkh-1,13,True
apanelee-1,13,True
apbjmekd-1,2,False
apehbcpe-1,10,True
apgdpibj-1,10,True
aphaljjj-1,13,True
aphbclad-1,10,True
aphehhfm-1,13,True
aphhbneb-1,13,True
